"Transaction Date","Transaction ID","Transaction Status","Transaction Type","From","To","Plant Community Type","Sub Region","Offset Trading Group","Vegetation Formation","Scientific Name","Common Name","Number Of Credits","Price Per Credit (Ex-GST)","Philanthropic Reason For Transfer Disclosed","Retirement Reason","Other Reason for Retiring","Reference Number of Obligation","Address of Obligation","Local Government Area of Obligation","Date of Consent Approval"
"2019-11-27","00018450","Completed","Transfer","CR-1319","CR-2208","White Box grassy woodland in the upper slopes sub-region of the NSW South Western Slopes Bioregion","Inland Slopes","White Box - Yellow Box - Blakely's Red Gum Grassy Woodland and Derived Native Grassland in the NSW North Coast, New England Tableland, Nandewar, Brigalow Belt South, Sydney Basin, South Eastern Highlands, NSW South Western Slopes, South East Corner and Ri","Grassy Woodlands","","","424","4150","No","","","","","",""
"2020-04-14","00019921","Completed","Transfer","CR-1319","CR-3154","White Box grassy woodland in the upper slopes sub-region of the NSW South Western Slopes Bioregion","Inland Slopes","White Box - Yellow Box - Blakely's Red Gum Grassy Woodland and Derived Native Grassland in the NSW North Coast, New England Tableland, Nandewar, Brigalow Belt South, Sydney Basin, South Eastern Highlands, NSW South Western Slopes, South East Corner and Ri","Grassy Woodlands","","","499","4150","No","","","","","",""
"2020-04-22","00020025","Completed","Transfer","CR-1403","CR-3198","White Box grassy woodland in the upper slopes sub-region of the NSW South Western Slopes Bioregion","Inland Slopes","White Box - Yellow Box - Blakely’s Red Gum Grassy Woodland and Derived Native Grassland in the NSW North Coast, New England Tableland, Nandewar, Brigalow Belt South, Sydney Basin, South Eastern Highlands, NSW South Western Slopes, South East Corner and Ri","Grassy Woodlands","","","528","4150","No","","","","","",""
"2020-09-24","00022037","Completed","Transfer","CR-2612","CR-4689","","Clarence Sandstones","","","Phascogale tapoatafa","Brush-tailed Phascogale","101","330","No","","","","","",""
"2020-09-24","00022037","Completed","Transfer","CR-2611","CR-4688","","Clarence Sandstones","","","Petaurus norfolcensis","Squirrel Glider","101","330","No","","","","","",""
"2020-09-24","00022037","Completed","Transfer","CR-2610","CR-4687","","Clarence Sandstones","","","Aepyprymnus rufescens","Rufous Bettong","101","330","No","","","","","",""
"2020-09-24","00022037","Completed","Transfer","CR-2613","CR-4690","","Clarence Sandstones","","","Dromaius novaehollandiae - endangered population","Emu population in the New South Wales North Coast Bioregion and Port Stephens local government area","448","2009","No","","","","","",""
"2020-10-07","00022191","Completed","Transfer","CR-2107","CR-4793","","Upper Hunter","","","Phascolarctos cinereus","Koala","98","250","No","","","","","",""
"2020-10-12","00022277","Completed","Retire","CR-4793","CR-4807","","Upper Hunter","","","Phascolarctos cinereus","Koala","98","0","","For the purpose of complying with a requirement to retire biodiversity credits of a planning approval or a vegetation clearing approval","","10.2014.00000319.001","","",""
"2020-11-17","00022848","Completed","Retire","CR-2312","CR-5123","Narrow-leaved Ironbark - Broad-leaved Ironbark - Grey Gum open forest of the edges of the Cumberland Plain, Sydney Basin Bioregion","Yengo","Shale Sandstone Transition Forest in the Sydney Basin Bioregion","Grassy Woodlands","","","10","0","","For the purpose of complying with a requirement to retire biodiversity credits of a planning approval or a vegetation clearing approval","","DA951/2018/ZA","","Hills Shire Council",""
"2020-11-18","00022955","Completed","Transfer","CR-2109","CR-5159","","Upper Hunter","","","Phascogale tapoatafa","Brush-tailed Phascogale","90","349","No","","","","","",""
"2020-12-07","00023243","Completed","Transfer","CR-2610","CR-5559","","Clarence Sandstones","","","Aepyprymnus rufescens","Rufous Bettong","373","400","No","","","","","",""
"2020-12-07","00023243","Completed","Transfer","CR-2611","CR-5560","","Clarence Sandstones","","","Petaurus norfolcensis","Squirrel Glider","72","200","No","","","","","",""
"2020-12-22","00023479","Completed","Retire","CR-5559","CR-5773","","Clarence Sandstones","","","Aepyprymnus rufescens","Rufous Bettong","373","0","","For the purpose of BCT complying with an obligation to retire Biodiversity Credits","For the purpose of acquitting offset obligations held by the Biodiversity Conservation Trust of NSW","","","",""
